	subSystem	disrupted.module	rxnList
1	Transport, extracellular	MTA_BD_R_abs	KYNATEtr2
2	Transport, extracellular	MTA_BD_R_abs	NAIt
3	Transport, extracellular	MTA_BD_R_abs	r1516
4	Transport, extracellular	MTA_BD_R_abs	UDPGLCURtr
5	Transport, extracellular	MTA_BD_R_abs	INSTt4_2
6	Transport, extracellular	MTA_BD_R_abs	MALTTTRt
7	Transport, extracellular	MTA_BD_R_abs	DHBPTt
8	Transport, extracellular	MTA_BD_R_abs	THBPTt
9	Transport, extracellular	MTA_BD_R_abs	MMAte
10	Transport, extracellular	MTA_BD_R_abs	r1519
11	Transport, extracellular	MTA_BD_R_abs	XOL7AH3t
12	Transport, extracellular	MTA_BD_R_abs	AMETt
13	Transport, extracellular	MTA_BD_R_abs	ASPGLUTRPt
14	Transport, extracellular	MTA_BD_R_abs	7DHCHSTEROLtd
15	Transport, extracellular	MTA_BD_R_abs	THMDt2r
16	Transport, extracellular	MTA_BD_R_abs	DOPAtu
17	Transport, extracellular	MTA_BD_R_abs	DHCHOLESTANATEt
18	Transport, extracellular	MTA_BD_R_abs	CYTDt2r
19	Transport, extracellular	MTA_BD_R_abs	THRPHEARGt
20	Transport, extracellular	MTA_BD_R_abs	ASPLYSGLUt
21	Transport, extracellular	MTA_BD_R_abs	r1106
22	Transport, extracellular	MTA_BD_R_abs	ADNCNT3tc
23	Transport, extracellular	MTA_BD_R_abs	HDCEAtr
24	Transport, extracellular	MTA_BD_R_abs	PHETRPLEUt
25	Transport, extracellular	MTA_BD_R_abs	HISGLYLYSt
26	Transport, extracellular	MTA_BD_R_abs	HMR_9191
27	Transport, extracellular	MTA_BD_R_abs	TMNDNCt
28	Transport, extracellular	MTA_BD_R_abs	D_LACt2
29	Transport, extracellular	MTA_BD_R_abs	DCMPtr
30	Transport, extracellular	MTA_BD_R_abs	ASPPROLYSt
31	Transport, extracellular	MTA_BD_R_abs	INSTt4
32	Transport, extracellular	MTA_BD_R_abs	INSTt2r
33	Transport, extracellular	MTA_BD_R_abs	PCHOLOLE_HSABCt
34	Transport, extracellular	MTA_BD_R_abs	PCHOLN19_HSABCt
35	Transport, extracellular	MTA_BD_R_abs	TRPt4
36	Transport, extracellular	MTA_BD_R_abs	TYRt4
37	Transport, extracellular	MTA_BD_R_abs	METHISLYSt
38	Transport, extracellular	MTA_BD_R_abs	PALFATPtc
39	Transport, extracellular	MTA_BD_R_abs	PHELYSALAt
40	Transport, extracellular	MTA_BD_R_abs	KCC2t
41	Transport, extracellular	MTA_BD_R_abs	HISLYSALAt
42	Transport, extracellular	MTA_BD_R_abs	r1116
43	Transport, extracellular	MTA_BD_R_abs	5AOPt
44	Transport, extracellular	MTA_BD_R_abs	C04483t2
45	Transport, extracellular	MTA_BD_R_abs	ASNTYRTHRt
46	Transport, extracellular	MTA_BD_R_abs	RETINALt
47	Transport, extracellular	MTA_BD_R_abs	HISLYSILEt
48	Transport, extracellular	MTA_BD_R_abs	TRPLEUVALt
49	Transport, extracellular	MTA_BD_R_abs	PHELEUHISt
50	Transport, extracellular	MTA_BD_R_abs	ACETONEt2
51	Transport, extracellular	MTA_BD_R_abs	LYSCYSHISt
52	Transport, extracellular	MTA_BD_R_abs	GALt4
53	Transport, extracellular	MTA_BD_R_abs	ASPGLUPROt
54	Transport, extracellular	MTA_BD_R_abs	PTCRTD
55	Transport, extracellular	MTA_BD_R_abs	ARGPROTHRt
56	Transport, extracellular	MTA_BD_R_abs	PHPYRte
57	Transport, extracellular	MTA_BD_R_abs	PPBNGte
58	Transport, extracellular	MTA_BD_R_abs	r0879
59	Transport, extracellular	MTA_BD_R_abs	2PGtr
60	Transport, extracellular	MTA_BD_R_abs	C02356t
61	Transport, extracellular	MTA_BD_R_abs	4TMEABUTNt1
62	Transport, extracellular	MTA_BD_R_abs	4TMEABUTNt2
63	Transport, extracellular	MTA_BD_R_abs	3MHISt3
64	Transport, extracellular	MTA_BD_R_abs	PGLYCt
65	Transport, extracellular	MTA_BD_R_abs	r2130
66	Transport, extracellular	MTA_BD_R_abs	CE2513td
67	Transport, extracellular	MTA_BD_R_abs	URIt
68	Transport, extracellular	MTA_BD_R_abs	r2122
69	Transport, extracellular	MTA_BD_R_abs	3MOBte
70	Transport, extracellular	MTA_BD_R_abs	2OBUTt
71	Transport, extracellular	MTA_BD_R_abs	r2112
72	Transport, extracellular	MTA_BD_R_abs	L_LACt2r
73	Transport, extracellular	MTA_BD_R_abs	GSNt2r
74	Transport, extracellular	MTA_BD_R_abs	NAHCO3_HCLt
75	Transport, extracellular	MTA_BD_R_abs	r1143
76	Transport, extracellular	MTA_BD_R_abs	r2131
77	Transport, extracellular	MTA_BD_R_abs	ALAHISALAt
78	Transport, extracellular	MTA_BD_R_abs	r2116
79	Transport, extracellular	MTA_BD_R_abs	OROTGLUt
80	Transport, extracellular	MTA_BD_R_abs	CE4890te2
81	Transport, extracellular	MTA_BD_R_abs	CE4890te
82	Transport, extracellular	MTA_BD_R_abs	r1566
83	Transport, extracellular	MTA_BD_R_abs	r1579
84	Transport, extracellular	MTA_BD_R_abs	GABABGTtc
85	Transport, extracellular	MTA_BD_R_abs	ASCBt
86	Transport, extracellular	MTA_BD_R_abs	r2128
87	Transport, extracellular	MTA_BD_R_abs	ASCBt4
88	Transport, extracellular	MTA_BD_R_abs	r2123
89	Transport, extracellular	MTA_BD_R_abs	The
90	Transport, extracellular	MTA_BD_R_abs	ADNt
91	Transport, extracellular	MTA_BD_R_abs	URIt2r
92	Transport, extracellular	MTA_BD_R_abs	INSt
93	Transport, extracellular	MTA_BD_R_abs	DOPAENT4tc
94	Transport, extracellular	MTA_BD_R_abs	CYTDt
95	Transport, extracellular	MTA_BD_R_abs	r2309
96	Transport, extracellular	MTA_BD_R_abs	VALtec
97	Transport, extracellular	MTA_BD_R_abs	LEUtec
98	Transport, extracellular	MTA_BD_R_abs	r2534
99	Transport, extracellular	MTA_BD_R_abs	r2532
100	Transport, extracellular	MTA_BD_R_abs	GLYt7_211_r
101	Transport, extracellular	MTA_BD_R_abs	r1423
102	Transport, extracellular	MTA_BD_R_abs	PIt9
103	Transport, extracellular	MTA_BD_R_abs	PROt4
104	Transport, extracellular	MTA_BD_R_norm_t1	SPHS1Pte
105	Transport, extracellular	MTA_BD_R_norm_t1	13_CIS_RETNte
106	Transport, extracellular	MTA_BD_R_norm_t1	PPBNGte
107	Transport, extracellular	MTA_BD_R_norm_t1	HMR_0388
108	Transport, extracellular	MTA_BD_R_norm_t1	GUDACtr2
109	Transport, extracellular	MTA_BD_R_norm_t1	PCREATte
110	Transport, extracellular	MTA_BD_R_norm_t1	C02356t
111	Transport, extracellular	MTA_BD_R_norm_t1	NRPPHRt4_2_r
112	Transport, extracellular	MTA_BD_R_norm_t1	DOPAt4_2_r
113	Transport, extracellular	MTA_BD_R_norm_t1	GLCt2_2
114	Transport, extracellular	MTA_BD_R_norm_t1	GLYALDtr
115	Transport, extracellular	MTA_BD_R_norm_t1	OAAt
116	Transport, extracellular	MTA_BD_R_norm_t1	GALt2_2
117	Transport, extracellular	MTA_BD_R_norm_t1	MAGt
118	Transport, extracellular	MTA_BD_R_norm_t1	PROt4
119	Transport, extracellular	MTA_BD_R_norm_t1	5HPETtd
120	Transport, extracellular	MTA_BD_R_norm_t1	34HPLte
121	Transport, extracellular	MTA_BD_R_norm_t1	CE5304t
122	Transport, extracellular	MTA_BD_R_norm_t1	r2095
123	Transport, extracellular	MTA_BD_R_norm_t1	r1116
124	Transport, extracellular	MTA_BD_R_norm_t1	C04805td
125	Transport, extracellular	MTA_BD_R_norm_t1	r2089
126	Transport, extracellular	MTA_BD_R_norm_t1	r1579
127	Transport, extracellular	MTA_BD_R_norm_t1	r2091
128	Transport, extracellular	MTA_BD_R_norm_t1	56DTHMt
129	Transport, extracellular	MTA_BD_R_norm_t1	56DTHMtd
130	Transport, extracellular	MTA_BD_R_norm_t1	r1617
131	Transport, extracellular	MTA_BD_R_norm_t1	C06439t
132	Transport, extracellular	MTA_BD_R_norm_t1	D_LACt2
133	Transport, extracellular	MTA_BD_R_norm_t1	L_LACt4r
134	Transport, extracellular	MTA_BD_R_norm_t1	r1662
135	Transport, extracellular	MTA_BD_R_norm_t1	r2097
136	Transport, extracellular	MTA_BD_R_norm_t1	r2098
137	Transport, extracellular	MTA_BD_R_norm_t1	CALAtr
138	Transport, extracellular	MTA_BD_R_norm_t1	THMtrbc
139	Transport, extracellular	MTA_BD_R_norm_t1	DHEASt
140	Transport, extracellular	MTA_BD_R_norm_t1	r2343
141	Transport, extracellular	MTA_BD_R_norm_t1	r2096
142	Transport, extracellular	MTA_BD_R_norm_t1	HISt4
143	Transport, extracellular	MTA_BD_R_norm_t1	PPASMCT1
144	Transport, extracellular	MTA_BD_R_norm_t1	r1604
145	Transport, extracellular	MTA_BD_R_norm_t1	FATP8t
146	Transport, extracellular	MTA_BD_R_norm_t1	r2122
147	Transport, extracellular	MTA_BD_R_norm_t1	THMt3
148	Transport, extracellular	MTA_BD_R_norm_t1	HMR_9652
149	Transport, extracellular	MTA_BD_R_norm_t1	NACUP
150	Transport, extracellular	MTA_BD_R_norm_t1	The
151	Transport, extracellular	MTA_BD_R_norm_t1	r1650
152	Transport, extracellular	MTA_BD_R_norm_t1	HOMOVALte
153	Transport, extracellular	MTA_BD_R_norm_t1	FATP5t
154	Transport, extracellular	MTA_BD_R_norm_t1	HCO3_CLt
155	Transport, extracellular	MTA_BD_R_norm_t1	CRVNCtr
156	Transport, extracellular	MTA_BD_R_norm_t1	FATP7t
157	Transport, extracellular	MTA_BD_R_norm_t1	r1602
158	Transport, extracellular	MTA_BD_R_norm_t1	r1088
159	Transport, extracellular	MTA_BD_R_norm_t1	r2086
160	Transport, extracellular	MTA_BD_R_norm_t1	ARGt4
161	Transport, extracellular	MTA_BD_R_norm_t1	NACSMCTte
162	Transport, extracellular	MTA_BD_R_norm_t1	r2344
163	Transport, extracellular	MTA_BD_R_norm_t1	ABUTt4_2_r
164	Transport, extracellular	MTA_BD_R_norm_t1	TYRt4
165	Transport, extracellular	MTA_BD_R_norm_t1	r1566
166	Transport, extracellular	MTA_BD_R_norm_t1	r0974
167	Transport, extracellular	MTA_BD_R_norm_t1	r2125
168	Transport, extracellular	MTA_BD_R_norm_t1	r2353
169	Transport, extracellular	MTA_BD_R_norm_t1	NAHCO3_HCLt
170	Transport, extracellular	MTA_BD_R_norm_t1	r2117
171	Transport, extracellular	MTA_BD_R_norm_t1	r1593
172	Transport, extracellular	MTA_BD_R_norm_t1	LEUt4
173	Transport, extracellular	MTA_BD_R_norm_t1	GLYSNAT5tc
174	Transport, extracellular	MTA_BD_R_norm_t1	r2079
175	Transport, extracellular	MTA_BD_R_norm_t1	r2131
176	Transport, extracellular	MTA_BD_R_norm_t1	VALt4
177	Transport, extracellular	MTA_BD_R_norm_t1	KHte
178	Transport, extracellular	MTA_BD_R_norm_t1	56DURAtd
179	Transport, extracellular	MTA_BD_R_norm_t1	r2106
180	Transport, extracellular	MTA_BD_R_norm_t1	r1554
181	Transport, extracellular	MTA_BD_R_norm_t1	PYRSMCT1
182	Transport, extracellular	MTA_BD_R_norm_t1	56DURAt
183	Transport, extracellular	MTA_BD_R_norm_t1	LYStiDF
184	Transport, extracellular	MTA_BD_R_norm_t1	TCHOLAte
185	Transport, extracellular	MTA_BD_R_norm_t1	r2129
186	Transport, extracellular	MTA_BD_R_norm_t1	r2082
187	Transport, extracellular	MTA_BD_R_norm_t1	r2090
188	Transport, extracellular	MTA_BD_R_norm_t1	BALAPAT1tc2
189	Transport, extracellular	MTA_BD_R_norm_t1	r2118
190	Transport, extracellular	MTA_BD_R_norm_t1	r2112
191	Transport, extracellular	MTA_BD_R_norm_t1	C05953t
192	Transport, extracellular	MTA_BD_R_norm_t1	NH4t3r
193	Transport, extracellular	MTA_BD_R_norm_t1	r2368
194	Transport, extracellular	MTA_BD_R_norm_t1	MMAt2e
195	Transport, extracellular	MTA_BD_R_norm_t1	MMAte
196	Transport, extracellular	MTA_BD_R_norm_t1	PROSTGE2t2
197	Transport, extracellular	MTA_BD_R_norm_t1	3AIBSYMPt
198	Transport, extracellular	MTA_BD_R_norm_t1	3AIBt1
199	Transport, extracellular	MTA_BD_R_norm_t1	ALADGLYexR
200	Transport, extracellular	MTA_BD_R_norm_t1	r1648
201	Transport, extracellular	MTA_BD_R_norm_t1	PYRt2r
202	Transport, extracellular	MTA_BD_R_norm_t2	HMR_7898
203	Transport, extracellular	MTA_BD_R_norm_t2	pac
204	Transport, extracellular	MTA_BD_R_norm_t2	XYLUDte
205	Transport, extracellular	MTA_BD_R_norm_t2	GLYALDtr
206	Transport, extracellular	MTA_BD_R_norm_t2	ABT_Dt2
207	Transport, extracellular	MTA_BD_R_norm_t2	BUTSMCT1
208	Transport, extracellular	MTA_BD_R_norm_t2	HISGLUt
209	Transport, extracellular	MTA_BD_R_norm_t2	GLNTYRLEUt
210	Transport, extracellular	MTA_BD_R_norm_t2	HMR_0770
211	Transport, extracellular	MTA_BD_R_norm_t2	15KPROSTGF2t
212	Transport, extracellular	MTA_BD_R_norm_t2	ASPGLUTRPt
213	Transport, extracellular	MTA_BD_R_norm_t2	ASPMETASPt
214	Transport, extracellular	MTA_BD_R_norm_t2	2OXOADPt
215	Transport, extracellular	MTA_BD_R_norm_t2	PROt4
216	Transport, extracellular	MTA_BD_R_norm_t2	HC00342te
217	Transport, extracellular	MTA_BD_R_norm_t2	3HPPt
218	Transport, extracellular	MTA_BD_R_norm_t2	r1143
219	Transport, extracellular	MTA_BD_R_norm_t2	ASPt6
220	Transport, extracellular	MTA_BD_R_norm_t2	PIt9
221	Transport, extracellular	MTA_BD_R_norm_t2	D_LACt2
222	Transport, extracellular	MTA_BD_R_norm_t2	FATP9t
223	Transport, extracellular	MTA_BD_R_norm_t2	r1636
224	Transport, extracellular	MTA_BD_R_norm_t2	r2311
225	Transport, extracellular	MTA_BD_R_norm_t2	r2338
226	Transport, extracellular	MTA_BD_R_norm_t2	r1657
227	Transport, extracellular	MTA_BD_R_norm_t2	LNLCCRNtd
228	Transport, extracellular	MTA_BD_R_norm_t2	r1623
229	Transport, extracellular	MTA_BD_R_norm_t2	RTOTAL2t
230	Transport, extracellular	MTA_BD_R_norm_t2	ELAIDCRNtd
231	Transport, extracellular	MTA_BD_R_norm_t2	ELAIDCRNte
232	Transport, extracellular	MTA_BD_R_norm_t2	r1581
233	Transport, extracellular	MTA_BD_R_norm_t2	r2096
234	Transport, extracellular	MTA_BD_R_norm_t2	PYRSMCT1
235	Transport, extracellular	MTA_BD_R_norm_t2	r2308
236	Transport, extracellular	MTA_BD_R_norm_t2	CLCFTRte
237	Transport, extracellular	MTA_BD_R_norm_t2	HCO3_CLt
238	Transport, extracellular	MTA_BD_R_norm_t2	r1665
239	Transport, extracellular	MTA_BD_R_norm_t2	r1560
