name	iPS_Ctrl_TP_vs_iPS_BD_NR_TP	iPS_Ctrl_TP_vs_iPS_BD_R_TP	iPS_Ctrl_TP_vs_iPS_BD_TP	UnChanged_iPS_Ctrl_TP_vs_Primary_TP
13_CIS_RETNte	1	1	1	0
2HBO	1	1	1	0
2MOPtm	0	1	1	0
2OBUTt	1	1	1	0
2OXOADOXm	0	0	1	1
2OXOADPt	0	0	1	1
2OXOADPTm	0	0	1	1
34DHPHAMT	1	1	1	0
34DHPHAte	1	1	1	0
34DHPHEt	1	1	1	0
34DHXMANDACOX_NADP_	0	0	1	1
3DHLCAt	0	0	1	0
3SALATAi	0	0	1	1
3SALATAim	0	0	1	1
3SPYRSP	0	0	1	1
3SPYRSPm	0	0	1	1
4HOXPACDOX_NADP_	0	0	1	1
4HPRO_LTte	1	1	1	0
4HPROLTASCT1	1	1	1	0
5HPETtd	1	1	1	0
AATAi	0	0	1	1
ACACT10m	1	1	1	1
ACACT8p	1	1	1	0
ACALDt	1	0	1	0
ACALDtm	1	0	1	0
ACER12r	0	0	1	0
ACETONEt2	1	0	1	1
ACETONEt2m	1	0	1	1
ACGALtly	0	0	1	0
ACGAM6PSi	0	0	1	0
ACOAO7p	1	1	1	0
ACRNte	0	0	1	0
ADNtm	1	0	1	0
ADPOHc	0	0	1	1
ADPOHt	0	0	1	1
ADRNCPT1	0	1	1	0
ADRNCPT2	0	1	1	0
AGPAT1	0	1	1	0
AICART	1	1	1	0
ALDD2x	1	0	1	0
ALDD2xm	1	0	1	0
ALDD2y	1	0	1	0
ARGtm	1	1	1	0
ARTFR208	0	0	1	1
ASNCYSCYSr	1	0	1	1
ASNCYSCYSt	1	0	1	1
ASPGLUPROr	1	1	1	0
ASPGLUPROt	1	1	1	0
BGAL1e	1	1	1	0
BGAL3l	0	0	1	0
BILGLCURtr	1	1	1	1
BILIRUBt2	1	1	1	1
BILIRUBtr	0	1	1	1
C02356t	1	1	1	0
C02712te	0	0	1	1
C04805td	1	1	1	0
C05957td	1	0	1	0
C06315t	0	0	1	0
C11695td	1	0	1	0
C12DCACT	0	0	1	0
C13856te	0	0	1	1
C14768td	1	0	1	0
C14769td1	1	0	1	0
C14770ATP	1	0	1	0
C14771ATP	1	0	1	0
C14STRr	0	0	1	0
C160CPT2	0	1	1	0
C161CPT1	0	1	1	1
C161CPT12	1	1	1	0
C180CPT1	1	0	1	1
C180CPT2	1	0	1	1
C204CPT1	0	1	1	0
C204CPT2	1	1	1	0
C3STDH1Pr	0	0	1	0
C3STKR2r	0	0	1	0
C40CPT1	1	1	1	0
C4DCCACT	1	0	1	0
C4STMO1r	0	0	1	0
C4STMO2r	0	0	1	0
C60CPT1	1	1	1	0
C6COAt	1	1	1	0
C6CRNtcx	1	1	1	0
C80CPT1	1	0	1	0
CE1261t	1	1	1	0
CE1617te	1	1	1	0
CE2445t	1	1	1	0
CE2510ABCt	1	0	1	0
CE4890te	0	0	1	1
CE5026t	1	1	1	0
CE6247t	1	1	1	0
CE7081tr	0	0	1	0
CE7090te	0	0	1	1
CERT1gt	0	1	1	0
CERT1rt	1	1	1	0
CHSTEROLtrc	0	1	1	0
CITtbm	1	1	1	0
CLPNDCPT1	0	0	1	1
CLPNDCPT2	0	0	1	1
CO2t	0	0	1	1
CO2ter	0	0	1	0
CYSCYSr	1	0	1	1
CYSCYSt	1	0	1	1
CYSO	0	0	1	1
CYSTA	1	0	1	1
DACGST	1	1	1	0
DAG_HStg	0	1	1	0
DAGt	0	0	1	1
DCIm	0	1	1	0
DCT	1	1	1	0
DCYTt	1	1	1	1
DDPGAm	0	0	1	0
DESAT18_3	0	1	1	0
DESAT18_4	0	1	1	0
DESAT18_8	0	1	1	0
DESAT20_1	1	0	1	0
DESAT20_2	1	1	1	0
DGK1	1	0	1	0
DGK2m	1	1	1	0
DGSNt	1	1	1	0
DHCR71r	0	0	1	0
DHCRMter	0	0	1	0
DHPR	1	1	1	0
DINt	1	1	1	0
DLNLCGCPT2	1	0	1	0
DM_4glu56dihdind[c]	1	1	1	0
DM_melanin_c_	1	1	1	0
DMATT	1	0	1	0
DNADtn	1	0	1	1
DOPAQNISO1	1	1	1	0
DPMVDc	1	0	1	0
DPMVDx	1	0	1	0
DTMPK	1	1	1	0
DTMPKm	1	1	1	0
DURAD	0	0	1	0
DXTRNt	1	0	1	1
ECOAH1m	1	0	1	0
ECOAH1x	0	1	1	0
EHGLAT2m	0	0	1	0
EHGLATm	0	0	1	0
EICOSTETCPT1	1	1	1	0
EICOSTETCPT2	1	1	1	0
ELAIDCPT1	0	0	1	1
ELAIDCRNtd	0	0	1	1
EX_13_cis_retn[e]	1	1	1	0
EX_2hb[e]	1	1	1	0
EX_2obut[e]	1	1	1	0
EX_2oxoadp[e]	0	0	1	1
EX_34dhpha[e]	1	1	1	0
EX_34dhphe[e]	1	1	1	0
EX_4hpro[e]	0	0	1	0
EX_5cysgly34dhphe[e]	1	1	1	0
EX_5HPET[e]	1	1	1	0
EX_ac[e]	1	0	1	1
EX_acald[e]	1	0	1	0
EX_adpoh[e]	0	0	1	1
EX_adrn[e]	0	1	1	0
EX_arach[e]	1	1	1	0
EX_arachd[e]	1	0	1	0
EX_asncyscys[e]	1	0	1	1
EX_aspglupro[e]	1	1	1	0
EX_C02356[e]	1	1	1	0
EX_C02712[e]	0	0	1	1
EX_C04805[e]	1	1	1	0
EX_C06315[e]	0	0	1	0
EX_C11695[e]	1	0	1	0
EX_C13856[e]	0	0	1	1
EX_C14768[e]	1	0	1	0
EX_C14769[e]	1	0	1	0
EX_C14770[e]	1	0	1	0
EX_C14771[e]	1	0	1	0
EX_caproic[e]	0	1	1	0
EX_CE1261[e]	1	1	1	0
EX_CE1617[e]	1	1	1	0
EX_CE2445[e]	1	1	1	0
EX_CE5026[e]	1	1	1	0
EX_CE6247[e]	1	1	1	0
EX_CE7090[e]	0	0	1	1
EX_cgly[e]	1	0	1	1
EX_clpnd[e]	0	0	1	1
EX_crm_hs[e]	0	1	1	0
EX_cys_L[e]	1	0	1	1
EX_cyscys[e]	1	0	1	1
EX_dha[e]	1	1	1	0
EX_dlnlcg[e]	1	0	1	0
EX_dxtrn[e]	1	0	1	1
EX_eicostet[e]	1	1	1	0
EX_elaid[e]	0	1	1	0
EX_fmn[e]	1	1	1	0
EX_galgluside_hs[e]	0	1	1	0
EX_glc_D[e]	1	0	1	1
EX_glnproglu[e]	1	1	1	0
EX_gluala[e]	1	0	1	1
EX_gluside_hs[e]	0	1	1	0
EX_glyald[e]	1	0	1	1
EX_glyc_R[e]	0	0	1	1
EX_glyc[e]	0	0	1	1
EX_glypro[e]	1	1	1	0
EX_gthrd[e]	1	0	1	1
EX_HC00229[e]	1	0	1	1
EX_HC00250[e]	1	0	1	1
EX_HC00900[e]	1	1	1	0
EX_HC01444[e]	0	0	1	1
EX_HC02202[e]	1	0	1	0
EX_HC02204[e]	1	0	1	0
EX_hiscyscys[e]	1	0	1	1
EX_homoval[e]	1	1	1	0
EX_L2aadp[e]	0	0	1	1
EX_leuktrB4[e]	0	1	1	0
EX_leuleu[e]	0	0	1	0
EX_lthstrl[e]	0	0	1	0
EX_M00017[e]	0	1	1	0
EX_M01235[e]	0	1	1	0
EX_M02745[e]	0	1	1	0
EX_mag_hs[e]	0	0	1	1
EX_mercplaccys[e]	1	0	1	1
EX_ocdca[e]	1	1	1	0
EX_oxa[e]	0	0	1	0
EX_pro_L[e]	1	1	1	0
EX_proglnpro[e]	1	1	1	0
EX_prolyspro[e]	1	1	1	0
EX_proproarg[e]	1	1	1	0
EX_propropro[e]	1	1	1	0
EX_prostge1[e]	1	0	1	0
EX_retinal[e]	1	1	1	0
EX_retn[e]	1	1	1	0
EX_sfcys[e]	1	0	1	1
